City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.82,light rain,-23.1203,-134.9692,Pension Maro'i
1,Port Shepstone,ZA,71.74,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
2,Arraial Do Cabo,BR,74.26,few clouds,-22.9661,-42.0278,Pousada Porto Praia
4,Talara,PE,71.46,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
6,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
7,Palwal,IN,87.8,dust,28.15,77.3333,Hotel Aarya
9,Victoria,HK,82.99,broken clouds,22.2855,114.1577,Mini Hotel Central
13,East London,ZA,64.4,few clouds,-33.0153,27.9116,Tu Casa
15,Flinders,AU,75.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
19,Tarakan,ID,82.29,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
21,Port Alfred,ZA,66.65,overcast clouds,-33.5906,26.891,The Halyards Hotel
23,Camacha,PT,62.6,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
25,Hobart,AU,77.0,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
26,Hilo,US,66.0,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
28,Manokwari,ID,82.89,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
29,Itarema,BR,76.59,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
30,Hasaki,JP,70.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
33,Eydhafushi,MV,84.61,broken clouds,5.1033,73.0708,Soneva Fushi
34,Port Blair,IN,77.05,moderate rain,11.6667,92.75,Welcomhotel Bay Island Port Blair
35,Cape Town,ZA,63.0,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
38,Vredendal,ZA,61.88,broken clouds,-31.6683,18.5012,Tharrakamma Guest House
39,Rodrigues Alves,BR,72.01,overcast clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
40,Avarua,CK,78.8,few clouds,-21.2078,-159.775,Paradise Inn
42,Waingapu,ID,81.95,heavy intensity rain,-9.6567,120.2641,Pondok Wisata Elim
43,Busselton,AU,80.28,overcast clouds,-33.65,115.3333,Observatory Guest House
45,Impfondo,CG,72.28,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
49,Almeirim,BR,72.12,moderate rain,-1.5233,-52.5817,Ricácio Hotel
52,Butaritari,KI,82.89,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
53,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
59,Libreville,GA,77.0,few clouds,0.3925,9.4537,Hotel Re-Ndama
62,Laguna,US,61.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
63,Pokhara,NP,80.53,few clouds,28.2333,83.9833,Butterfly Lodge
68,Puerto Ayora,EC,73.99,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
72,Faya,SA,68.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
73,Lakes Entrance,AU,78.01,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
78,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
79,Corrente,BR,71.98,light rain,-3.7367,-43.3394,Chapadinhense Hotel
80,Chuy,UY,63.79,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
83,Los Llanos De Aridane,ES,62.6,clear sky,28.6585,-17.9182,Valle Aridane
87,Guerrero Negro,MX,64.24,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
89,Makakilo City,US,75.2,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
91,Faanui,PF,82.9,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
95,Atuona,PF,80.74,broken clouds,-9.8,-139.0333,Villa Enata
96,Gedo,ET,65.55,scattered clouds,9.0167,37.45,Mida Qanyi
99,Inhambane,MZ,73.4,few clouds,-23.865,35.3833,Oceano
101,Grand Gaube,MU,84.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
104,Richards Bay,ZA,72.99,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
106,Paita,PE,70.7,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
111,Tulagi,SB,83.53,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
115,Poum,NC,77.72,overcast clouds,-20.2333,164.0167,Gîte kajeon
116,Kaitangata,NZ,60.01,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
117,Airai,TL,63.93,overcast clouds,-8.9266,125.4092,Juvinal Martin
118,Santa Luzia,BR,68.0,clear sky,-19.7697,-43.8514,Pousada Chao Earth
119,Cidreira,BR,67.93,broken clouds,-30.1811,-50.2056,Hotel Castelo
120,Jega,NG,72.23,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
121,Bertoua,CM,68.88,overcast clouds,4.5833,13.6833,Hotel De Paris
122,Bahia Blanca,AR,60.71,clear sky,-38.7196,-62.2724,Hotel Argos
123,Payakumbuh,ID,85.26,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
127,Mananjary,MG,76.69,light rain,-21.2167,48.3333,Vahiny Lodge
128,Naze,JP,69.8,heavy intensity rain,28.3667,129.4833,奄美ポートタワーホテル
130,Isangel,VU,80.19,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
133,Bambous Virieux,MU,84.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
134,Rafaela,AR,62.01,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
136,Kulhudhuffushi,MV,84.96,clear sky,6.6221,73.07,Haajy Guest House 1
141,Acapulco,MX,79.39,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
146,Huarmey,PE,69.48,few clouds,-10.0681,-78.1522,Hotel Miramar
147,Bandarbeyla,SO,82.15,scattered clouds,9.4942,50.8122,JABIR HOTEL
148,New Norfolk,AU,77.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
149,Mar Del Plata,AR,66.0,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
151,Doha,QA,86.0,clear sky,25.2867,51.5333,Doha Marriott Hotel
152,Rincon,US,64.4,clear sky,32.296,-81.2354,Days Inn Rincon
153,Isla Vista,US,66.99,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
156,Namibe,AO,74.05,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
158,Jumla,NP,63.95,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
162,Road Town,VG,77.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
164,Gerash,IR,77.0,clear sky,27.6652,54.1371,Sa'adat House
165,Cabo San Lucas,MX,73.0,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
167,Hithadhoo,MV,84.07,broken clouds,-0.6,73.0833,Scoop Guest House
168,San Quintin,MX,63.0,few clouds,30.4833,-115.95,Old Mill Hotel
169,Burnie,AU,70.77,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
171,De Aar,ZA,66.67,light rain,-30.6497,24.0123,Stoneburgh B&B
174,Cabedelo,BR,75.2,few clouds,-6.9811,-34.8339,Hotel Pigalle
176,Kilindoni,TZ,80.38,moderate rain,-7.9139,39.6668,Bustani B&B
178,Acari,PE,72.68,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
179,Moroto,UG,75.13,clear sky,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
186,Wana,PK,70.03,clear sky,32.2989,69.5725,Rest House at Wana Camp
192,Ahipara,NZ,63.86,few clouds,-35.1667,173.1667,Ahipara Holiday Park
195,Lorengau,PG,83.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
199,Atar,MR,76.8,overcast clouds,20.5169,-13.0499,Oumou Elghoura
206,Broken Hill,AU,86.0,clear sky,-31.95,141.4333,Royal Exchange Hotel
207,San Patricio,US,69.8,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
208,Tahoua,NE,66.2,clear sky,14.8888,5.2692,Bungalows Guesthouse
209,Celestun,MX,79.68,overcast clouds,20.8667,-90.4,Posada Lilia
210,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
211,Port Elizabeth,ZA,64.0,overcast clouds,-33.918,25.5701,39 On Nile Guest House
212,Pisco,PE,68.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
213,Pitimbu,BR,75.2,few clouds,-7.4706,-34.8086,Reserva do Abiaí
215,Clovis,US,69.8,clear sky,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
216,Jieshi,CN,84.0,overcast clouds,22.8134,115.8257,Yuehai Hotel
218,Sinnamary,GF,76.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
219,Mocuba,MZ,72.5,scattered clouds,-16.8392,36.9856,Phama Lodge
223,Ures,MX,73.99,overcast clouds,29.4333,-110.4,Hotel HACIENDA San Francisco
225,Coahuayana,MX,71.51,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
227,Vao,NC,73.81,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
230,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
231,Esperance,AU,80.6,scattered clouds,-33.8667,121.9,Hospitality Esperance
235,Nyimba,ZM,68.77,few clouds,-14.5566,30.8149,Dali Dali Lodge
236,Quatre Cocos,MU,84.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
237,Razole,IN,89.6,haze,16.4833,81.8333,Sterling Palavelli Godavari
238,Ugu,IN,87.8,haze,26.7833,80.3333,Mishra's Home
240,Kavieng,PG,83.75,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
244,Wangou,CN,61.9,broken clouds,42.0623,126.9127,Changbaishan Restaurant
246,Bartica,GY,71.6,few clouds,6.4,-58.6167,Relax Inn Hotel
248,Banamba,ML,75.51,scattered clouds,13.55,-7.45,Kassela de Banamba
250,Kendari,ID,84.97,overcast clouds,-3.945,122.4989,Hotel Wixel
251,Kijang,KR,66.2,clear sky,35.2442,129.2139,Samyang Beach Villa
256,Tateyama,JP,66.2,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
258,Botou,CN,72.5,overcast clouds,38.0667,116.5667,Hanting Hotel Huanghua City Hall
260,Bulembu,SZ,66.2,clear sky,-25.9667,31.1333,Bulembu Lodge
261,Shuangyang,CN,64.99,clear sky,43.5242,125.6736,Boutique Chatelet
262,Porto Velho,BR,73.4,light rain,-8.7619,-63.9039,Hotel Central
268,Mahibadhoo,MV,84.29,overcast clouds,3.7833,72.9667,Omadhoo Inn
269,Thai Binh,VN,78.8,broken clouds,20.45,106.3333,Sweden Hotel
270,Aswan,EG,67.1,clear sky,24.0934,32.907,Nuba Nile
272,Samarai,PG,85.05,broken clouds,-10.6167,150.6667,Nuli Sapi
273,Sao Felix Do Xingu,BR,70.5,broken clouds,-6.6447,-51.995,Rio Xingu Camping
274,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
275,Ishigaki,JP,80.6,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
276,Kahului,US,73.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
277,Qujing,CN,78.01,few clouds,25.4833,103.7833,Yulong Hotel
278,Da Nang,VN,87.8,few clouds,16.0678,108.2208,Sun River Hotel
280,Margherita,IN,69.8,mist,27.2833,95.6833,Dehing Guest House
281,Dwarka,IN,85.05,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
282,Katsuura,JP,70.0,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
284,La Palma,US,71.6,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
285,Yangjiang,CN,87.01,few clouds,21.85,111.9667,HUALUXE Yangjiang City Center
286,Kawalu,ID,82.2,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
