City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.82,73,100,18.32,light rain
1,Port Shepstone,ZA,-30.7414,30.455,71.74,72,100,5.12,overcast clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,74.26,74,18,19.24,few clouds
3,Comodoro Rivadavia,AR,-45.8667,-67.5,53.6,87,75,2.3,light intensity drizzle
4,Talara,PE,-4.5772,-81.2719,71.46,77,26,12.62,scattered clouds
5,Ribeira Grande,PT,38.5167,-28.7,58.48,77,13,14.09,few clouds
6,Olinda,BR,-8.0089,-34.8553,78.8,78,40,4.61,scattered clouds
7,Palwal,IN,28.15,77.3333,87.8,19,0,9.22,dust
8,Brownwood,US,31.7093,-98.9912,39.2,65,75,8.12,broken clouds
9,Victoria,HK,22.2855,114.1577,82.99,77,73,1.01,broken clouds
10,Klaksvik,FO,62.2266,-6.589,41.0,81,75,19.57,broken clouds
11,Lagoa,PT,39.05,-27.9833,57.13,68,0,7.7,clear sky
12,Nikolskoye,RU,59.7035,30.7861,39.0,86,0,8.95,clear sky
13,East London,ZA,-33.0153,27.9116,64.4,88,20,4.61,few clouds
14,Klyuchi,RU,52.2667,79.1667,27.28,72,34,2.51,scattered clouds
15,Flinders,AU,-34.5833,150.8552,75.0,68,0,5.01,clear sky
16,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,20,20.71,snow
17,Knysna,ZA,-34.0363,23.0471,57.2,100,90,4.61,mist
18,Bethel,US,41.3712,-73.414,57.2,94,90,9.57,mist
19,Tarakan,ID,3.3,117.6333,82.29,74,74,4.41,broken clouds
20,Talaya,RU,61.3833,152.75,15.93,77,100,8.93,overcast clouds
21,Port Alfred,ZA,-33.5906,26.891,66.65,78,91,13.42,overcast clouds
22,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,93,75,14.97,broken clouds
23,Camacha,PT,33.0833,-16.3333,62.6,77,40,10.36,scattered clouds
24,Payson,US,40.0444,-111.7321,41.0,56,1,8.05,clear sky
25,Hobart,AU,-42.8794,147.3294,77.0,23,100,14.97,overcast clouds
26,Hilo,US,19.7297,-155.09,66.0,100,90,3.44,moderate rain
27,Dikson,RU,73.5069,80.5464,-2.69,67,100,8.79,overcast clouds
28,Manokwari,ID,-0.8667,134.0833,82.89,72,70,4.81,broken clouds
29,Itarema,BR,-2.9248,-39.9167,76.59,91,100,8.75,overcast clouds
30,Hasaki,JP,35.7333,140.8333,70.0,55,20,12.66,few clouds
31,Bilibino,RU,68.0546,166.4372,11.84,92,100,2.57,light snow
32,Grivenskaya,RU,45.6473,38.176,46.6,67,16,13.18,few clouds
33,Eydhafushi,MV,5.1033,73.0708,84.61,73,75,11.99,broken clouds
34,Port Blair,IN,11.6667,92.75,77.05,85,100,5.95,moderate rain
35,Cape Town,ZA,-33.9258,18.4232,63.0,77,40,13.8,scattered clouds
36,Tiksi,RU,71.6872,128.8694,-3.48,96,100,10.76,overcast clouds
37,Mataura,NZ,-46.1927,168.8643,55.99,78,100,1.99,overcast clouds
38,Vredendal,ZA,-31.6683,18.5012,61.88,83,64,1.19,broken clouds
39,Rodrigues Alves,BR,-7.738,-72.6509,72.01,98,98,1.68,overcast clouds
40,Avarua,CK,-21.2078,-159.775,78.8,73,12,4.61,few clouds
41,Thompson,CA,55.7435,-97.8558,19.4,63,75,5.75,broken clouds
42,Waingapu,ID,-9.6567,120.2641,81.95,80,58,5.37,heavy intensity rain
43,Busselton,AU,-33.65,115.3333,80.28,49,100,4.63,overcast clouds
44,Roebourne,AU,-20.7833,117.1333,95.32,26,3,14.09,clear sky
45,Impfondo,CG,1.6381,18.0667,72.28,94,96,3.96,overcast clouds
46,Ushuaia,AR,-54.8,-68.3,39.2,81,0,2.3,clear sky
47,Albany,US,42.6001,-73.9662,43.0,71,100,1.01,moderate rain
48,Tigil,RU,57.8,158.6667,32.02,99,100,7.07,light snow
49,Almeirim,BR,-1.5233,-52.5817,72.12,97,90,2.3,moderate rain
50,Tilichiki,RU,60.4667,166.1,29.17,91,100,2.86,overcast clouds
51,Egvekinot,RU,66.3167,-179.1667,-0.47,95,100,2.3,overcast clouds
52,Butaritari,KI,3.0707,172.7902,82.89,78,34,15.95,scattered clouds
53,Kapaa,US,22.0752,-159.319,73.4,83,75,17.27,light rain
54,Ayan,RU,56.45,138.1667,31.48,71,64,2.95,broken clouds
55,Saint Anthony,US,45.0205,-93.218,27.0,46,1,3.44,clear sky
56,Fortuna,US,40.5982,-124.1573,51.01,62,1,6.91,clear sky
57,Artyom,AZ,40.4723,50.333,55.4,67,76,18.41,broken clouds
58,Almaznyy,RU,48.0448,40.045,42.8,75,0,15.66,clear sky
59,Libreville,GA,0.3925,9.4537,77.0,94,20,2.3,few clouds
60,Imeni Morozova,RU,59.9757,31.0376,39.0,70,12,8.48,few clouds
61,Ucluelet,CA,48.9329,-125.5528,45.0,84,100,5.59,overcast clouds
62,Laguna,US,38.421,-121.4238,61.0,51,1,2.98,clear sky
63,Pokhara,NP,28.2333,83.9833,80.53,26,21,7.31,few clouds
64,Marion,US,39.7684,-86.1555,34.0,51,20,11.5,few clouds
65,Qaanaaq,GL,77.484,-69.3632,-10.01,67,65,8.19,broken clouds
66,Ancud,CL,-41.8697,-73.8203,53.01,100,90,4.61,fog
67,Kodiak,US,57.79,-152.4072,28.4,50,20,21.85,few clouds
68,Puerto Ayora,EC,-0.7393,-90.3518,73.99,95,16,2.75,few clouds
69,Jamestown,US,42.097,-79.2353,37.99,75,90,6.91,overcast clouds
70,Vaini,TO,-21.2,-175.2,80.6,83,75,6.91,broken clouds
71,Severo-Kurilsk,RU,50.6789,156.125,37.26,98,100,22.82,light rain
72,Faya,SA,18.3851,42.4509,68.0,39,0,4.61,clear sky
73,Lakes Entrance,AU,-37.8811,147.981,78.01,51,66,4.0,broken clouds
74,Kropotkin,RU,45.4375,40.5756,45.18,73,14,15.9,few clouds
75,Pyay,MM,18.8167,95.2167,102.54,16,17,5.68,few clouds
76,Lebu,CL,-37.6167,-73.65,56.08,90,51,13.06,broken clouds
77,Barrow,US,71.2906,-156.7887,-5.8,59,1,16.11,clear sky
78,Souillac,MU,-20.5167,57.5167,78.8,89,75,3.44,broken clouds
79,Corrente,BR,-3.7367,-43.3394,71.98,98,100,1.66,light rain
80,Chuy,UY,-33.6971,-53.4616,63.79,73,98,6.46,overcast clouds
81,Aktau,KZ,43.65,51.2,50.0,25,40,24.61,dust
82,Muravlenko,RU,63.7898,74.523,31.87,100,100,14.0,light snow
83,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,67,0,3.44,clear sky
84,Visnes,NO,59.3556,5.2242,39.2,81,20,11.5,few clouds
85,Castro,BR,-24.7911,-50.0119,49.24,82,2,2.39,clear sky
86,Sandur,IN,15.1,76.55,94.1,19,31,11.1,scattered clouds
87,Guerrero Negro,MX,27.9769,-114.0611,64.24,56,40,7.61,scattered clouds
88,Roald,NO,62.5833,6.1333,37.4,81,75,9.22,broken clouds
89,Makakilo City,US,21.3469,-158.0858,75.2,69,75,8.05,broken clouds
90,Ostrovnoy,RU,68.0531,39.5131,31.96,98,100,13.2,light snow
91,Faanui,PF,-16.4833,-151.75,82.9,68,100,4.94,overcast clouds
92,Dawei,MM,14.0833,98.2,91.0,54,52,10.36,broken clouds
93,Khatanga,RU,71.9667,102.5,-15.74,89,19,2.13,few clouds
94,Englewood,US,39.6478,-104.9878,39.0,40,1,6.91,clear sky
95,Atuona,PF,-9.8,-139.0333,80.74,74,79,13.87,broken clouds
96,Gedo,ET,9.0167,37.45,65.55,31,46,4.61,scattered clouds
97,Vestmannaeyjar,IS,63.4427,-20.2734,42.42,81,93,17.92,overcast clouds
98,Rocha,UY,-34.4833,-54.3333,59.72,73,89,1.5,overcast clouds
99,Inhambane,MZ,-23.865,35.3833,73.4,78,20,5.5,few clouds
100,Fairbanks,US,64.8378,-147.7164,19.0,79,90,17.27,light snow
101,Grand Gaube,MU,-20.0064,57.6608,84.0,71,8,7.0,clear sky
102,Strezhevoy,RU,60.7333,77.5889,32.0,64,0,13.42,light snow
103,Meridian,US,43.6121,-116.3915,46.99,36,4,11.5,clear sky
104,Richards Bay,ZA,-28.783,32.0377,72.99,80,93,5.84,overcast clouds
105,Leningradskiy,RU,69.3833,178.4167,-4.38,94,100,3.71,overcast clouds
106,Paita,PE,-5.0892,-81.1144,70.7,78,42,10.56,scattered clouds
