City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,82.4,78,20,11.5,EC,2021-03-28 19:22:57
1,Vaini,-21.2,-175.2,78.8,89,75,9.22,TO,2021-03-28 19:24:15
2,Marapanim,-0.7175,-47.6997,80.74,83,99,6.06,BR,2021-03-28 19:24:20
3,Busselton,-33.65,115.3333,55.0,94,0,6.29,AU,2021-03-28 19:24:20
4,Pitimbu,-7.4706,-34.8086,84.2,70,75,9.22,BR,2021-03-28 19:24:21
5,Sao Joao Da Barra,-21.6403,-41.0511,86.0,66,20,6.91,BR,2021-03-28 19:20:28
6,Moron,-34.6534,-58.6198,75.2,57,40,6.91,AR,2021-03-28 19:24:21
7,Kahului,20.8947,-156.47,75.2,64,40,20.71,US,2021-03-28 19:24:21
8,Vila Velha,-20.3297,-40.2925,82.4,65,40,6.91,BR,2021-03-28 19:24:17
9,Mount Gambier,-37.8333,140.7667,57.2,94,90,4.61,AU,2021-03-28 19:21:02
10,Arroio Grande,-32.2375,-53.0869,70.38,86,98,10.54,BR,2021-03-28 19:24:22
11,Mount Isa,-20.7333,139.5,75.2,31,0,16.11,AU,2021-03-28 19:24:22
12,Richards Bay,-28.783,32.0377,69.37,74,97,7.36,ZA,2021-03-28 19:24:22
13,Haikou,20.0458,110.3417,75.2,94,0,6.71,CN,2021-03-28 19:24:23
14,Kaitangata,-46.2817,169.8464,52.02,97,73,2.73,NZ,2021-03-28 19:24:23
15,East London,-33.0153,27.9116,60.8,82,20,4.61,ZA,2021-03-28 19:24:23
16,Bondo,3.8146,23.6866,80.37,47,77,2.46,CD,2021-03-28 19:24:24
17,Sitka,57.0531,-135.33,37.4,65,40,13.8,US,2021-03-28 19:24:24
18,Gharghoda,22.1667,83.35,77.31,17,0,0.6,IN,2021-03-28 19:24:24
19,Saint-Philippe,-21.3585,55.7679,78.8,78,0,6.91,RE,2021-03-28 19:24:16
20,Alta Floresta,-9.8756,-56.0861,84.2,74,75,2.3,BR,2021-03-28 19:24:25
21,Mataura,-46.1927,168.8643,52.0,98,100,2.3,NZ,2021-03-28 19:24:17
22,Norman Wells,65.282,-126.8329,-4.0,65,75,19.57,CA,2021-03-28 19:23:14
23,Constitucion,-35.3333,-72.4167,68.38,45,0,4.43,CL,2021-03-28 19:21:21
24,Hobart,-42.8794,147.3294,53.6,50,20,14.97,AU,2021-03-28 19:24:25
25,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,75,13.8,CA,2021-03-28 19:24:25
26,Bilma,18.6853,12.9164,75.27,13,0,8.41,NE,2021-03-28 19:24:26
27,Nikolskoye,59.7035,30.7861,41.0,87,90,2.24,RU,2021-03-28 19:24:26
28,Lebu,-37.6167,-73.65,62.73,70,0,14.52,CL,2021-03-28 19:24:26
29,Thompson,55.7435,-97.8558,28.4,43,75,6.91,CA,2021-03-28 19:20:39
30,Hamilton,39.1834,-84.5333,46.99,65,100,5.01,US,2021-03-28 19:22:26
31,Qaanaaq,77.484,-69.3632,-15.2,80,75,2.82,GL,2021-03-28 19:24:27
32,Ushuaia,-54.8,-68.3,46.4,61,40,25.32,AR,2021-03-28 19:24:14
33,Bluff,-46.6,168.3333,52.0,98,100,5.68,NZ,2021-03-28 19:22:35
34,Butaritari,3.0707,172.7902,80.92,76,47,11.45,KI,2021-03-28 19:24:27
35,Ponta Do Sol,32.6667,-17.1,64.4,77,20,10.36,PT,2021-03-28 19:24:28
36,Itoman,26.1247,127.6694,71.6,100,75,4.61,JP,2021-03-28 19:24:28
37,Ballina,-28.8667,153.5667,64.4,94,3,6.58,AU,2021-03-28 19:22:42
38,Hithadhoo,-0.6,73.0833,80.29,84,100,27.89,MV,2021-03-28 19:22:22
39,Jamestown,42.097,-79.2353,46.0,81,90,20.22,US,2021-03-28 19:22:54
40,Hampton,37.0299,-76.3452,82.0,61,20,24.16,US,2021-03-28 19:22:35
41,Rosarito,32.3333,-117.0333,84.2,15,1,4.61,MX,2021-03-28 19:24:29
42,Cidreira,-30.1811,-50.2056,79.61,67,12,5.32,BR,2021-03-28 19:24:29
43,Vagur,61.4732,-6.8119,42.76,82,100,28.3,FO,2021-03-28 19:24:30
44,Purranque,-40.9167,-73.1667,73.4,46,0,11.5,CL,2021-03-28 19:24:30
45,Sao Filipe,14.8961,-24.4956,70.38,72,11,15.32,CV,2021-03-28 19:20:27
46,Tasiilaq,65.6145,-37.6368,19.4,53,20,9.22,GL,2021-03-28 19:22:21
47,Coihaique,-45.5752,-72.0662,66.2,52,40,6.91,CL,2021-03-28 19:21:32
48,Dolores,-36.3132,-57.6792,68.86,84,100,10.8,AR,2021-03-28 19:23:26
49,Arraial Do Cabo,-22.9661,-42.0278,86.0,74,20,9.22,BR,2021-03-28 19:24:31
50,Kampong Thum,12.7111,104.8887,83.48,50,36,10.22,KH,2021-03-28 19:24:12
51,Tarauaca,-8.1614,-70.7656,82.51,73,81,4.27,BR,2021-03-28 19:24:31
52,Albany,42.6001,-73.9662,52.0,87,100,10.42,US,2021-03-28 19:24:15
53,Saint-Ambroise,48.5501,-71.3324,34.0,93,100,20.71,CA,2021-03-28 19:24:31
54,Damghan,36.1683,54.348,40.82,38,0,0.96,IR,2021-03-28 19:24:32
55,Vardo,70.3705,31.1107,32.0,80,20,12.66,NO,2021-03-28 19:20:57
56,Gorontalo,0.5412,123.0595,75.15,83,100,2.24,ID,2021-03-28 19:24:32
57,Rikitea,-23.1203,-134.9692,78.66,74,10,15.19,PF,2021-03-28 19:24:33
58,Castro,-24.7911,-50.0119,73.31,80,100,5.95,BR,2021-03-28 19:24:33
59,Axim,4.8699,-2.2405,79.95,83,6,6.51,GH,2021-03-28 19:24:33
60,Tilichiki,60.4667,166.1,-9.31,92,20,7.0,RU,2021-03-28 19:24:33
61,Punta Arenas,-53.15,-70.9167,55.4,41,0,16.11,CL,2021-03-28 19:22:29
62,Umm Kaddadah,13.6017,26.6876,70.7,11,0,13.76,SD,2021-03-28 19:24:34
63,Port Alfred,-33.5906,26.891,66.29,71,100,18.79,ZA,2021-03-28 19:24:34
64,Dikson,73.5069,80.5464,-24.34,100,96,6.58,RU,2021-03-28 19:22:24
65,Kudahuvadhoo,2.6708,72.8944,81.5,78,100,13.49,MV,2021-03-28 19:24:35
66,Port Elizabeth,-33.918,25.5701,64.4,77,0,13.8,ZA,2021-03-28 19:24:07
67,Cururupu,-1.8283,-44.8683,79.48,91,34,4.9,BR,2021-03-28 19:19:58
68,Jacareacanga,-6.2222,-57.7528,90.46,50,99,4.68,BR,2021-03-28 19:24:35
69,Hilo,19.7297,-155.09,68.0,88,90,6.91,US,2021-03-28 19:23:16
70,Saskylakh,71.9167,114.0833,-4.74,99,98,2.01,RU,2021-03-28 19:24:04
71,Nanortalik,60.1432,-45.2371,25.95,65,4,7.0,GL,2021-03-28 19:23:53
72,Banepa,27.6298,85.5214,55.4,71,20,3.44,NP,2021-03-28 19:24:36
73,San Quintin,30.4833,-115.95,71.56,27,0,9.6,MX,2021-03-28 19:24:36
74,Miri,4.4148,114.0089,78.01,100,40,2.3,MY,2021-03-28 19:21:43
